set I :=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37;
set J :=1 2 3 4 5 6;
set K :=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26;
set N :=1;
set A :=1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 ;
param M:=1000;
param d:1 2 3 4 5 6:=
 4 40.133333 33.516667 43.116667 42.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 28.600000 21.533333 200.000000 200.000000 200.000000 200.000000 41.750000 200.000000 28.483333 200.000000 24.050000 12.233333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5 40.133333 33.516667 43.116667 42.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 28.600000 21.533333 200.000000 200.000000 200.000000 200.000000 41.750000 200.000000 28.483333 200.000000 24.050000 12.233333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6 40.133333 33.516667 43.116667 42.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 28.600000 21.533333 200.000000 200.000000 200.000000 200.000000 41.750000 200.000000 28.483333 200.000000 24.050000 12.233333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[2,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 200.000000 49.133333 52.183333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 36.583333 41.716667 52.500000 200.000000 200.000000 61.850000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 49.466667 200.000000 200.000000 200.000000 200.000000 11.016667 30.100000 23.250000 200.000000 200.000000 200.000000 200.000000  
 2  30.966667 43.900000 43.133333 31.450000 200.000000 17.716667 200.000000 200.000000 28.750000 33.500000 200.000000 200.000000 200.000000 55.250000 39.433333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 46.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 3  30.966667 43.900000 43.133333 31.450000 200.000000 17.716667 200.000000 200.000000 28.750000 33.500000 200.000000 200.000000 200.000000 55.250000 39.433333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 46.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 4  30.966667 43.900000 43.133333 31.450000 200.000000 17.716667 200.000000 200.000000 28.750000 33.500000 200.000000 200.000000 200.000000 55.250000 39.433333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 46.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5  30.966667 43.900000 43.133333 31.450000 200.000000 17.716667 200.000000 200.000000 28.750000 33.500000 200.000000 200.000000 200.000000 55.250000 39.433333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 46.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6  30.966667 43.900000 43.133333 31.450000 200.000000 17.716667 200.000000 200.000000 28.750000 33.500000 200.000000 200.000000 200.000000 55.250000 39.433333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 46.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[3,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1  25.350000 27.333333 21.533333 20.283333 200.000000 32.633333 200.000000 200.000000 34.700000 200.000000 200.000000 200.000000 38.266667 38.183333 30.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 44.833333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000  
 2  25.350000 27.333333 21.533333 20.283333 200.000000 32.633333 200.000000 200.000000 34.700000 200.000000 200.000000 200.000000 38.266667 38.183333 30.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 44.833333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 3  25.350000 27.333333 21.533333 20.283333 200.000000 32.633333 200.000000 200.000000 34.700000 200.000000 200.000000 200.000000 38.266667 38.183333 30.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 44.833333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 4  25.350000 27.333333 21.533333 20.283333 200.000000 32.633333 200.000000 200.000000 34.700000 200.000000 200.000000 200.000000 38.266667 38.183333 30.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 44.833333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5  25.350000 27.333333 21.533333 20.283333 200.000000 32.633333 200.000000 200.000000 34.700000 200.000000 200.000000 200.000000 38.266667 38.183333 30.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 44.833333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6  25.350000 27.333333 21.533333 20.283333 200.000000 32.633333 200.000000 200.000000 34.700000 200.000000 200.000000 200.000000 38.266667 38.183333 30.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 44.833333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[4,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 48.233333 45.066667 48.350000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 39.666667 46.666667 48.016667 200.000000 200.000000 54.316667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 55.100000 200.000000 200.000000 200.000000 200.000000 47.433333 200.000000 37.483333 200.000000 200.000000 200.000000 200.000000  
 2 22.433333 35.616667 34.233333 12.033333 200.000000 12.750000 200.000000 200.000000 38.200000 35.433333 200.000000 200.000000 200.000000 46.516667 43.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 33.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 3 22.433333 35.616667 34.233333 12.033333 200.000000 12.750000 200.000000 200.000000 38.200000 35.433333 200.000000 200.000000 200.000000 46.516667 43.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 33.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 4 22.433333 35.616667 34.233333 12.033333 200.000000 12.750000 200.000000 200.000000 38.200000 35.433333 200.000000 200.000000 200.000000 46.516667 43.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 33.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5 22.433333 35.616667 34.233333 12.033333 200.000000 12.750000 200.000000 200.000000 38.200000 35.433333 200.000000 200.000000 200.000000 46.516667 43.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 33.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6 22.433333 35.616667 34.233333 12.033333 200.000000 12.750000 200.000000 200.000000 38.200000 35.433333 200.000000 200.000000 200.000000 46.516667 43.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 33.816667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[5,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 44.683333 49.316667 46.066667 50.016667 200.000000 200.000000 200.000000 200.000000 47.450000 200.000000 200.000000 200.000000 43.733333 200.000000 32.433333 200.000000 200.000000 9.516667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 54.366667 200.000000 44.050000 200.000000 200.000000 200.000000 200.000000
 2 44.683333 49.316667 46.066667 50.016667 200.000000 200.000000 200.000000 200.000000 47.450000 200.000000 200.000000 200.000000 43.733333 200.000000 32.433333 200.000000 200.000000 9.516667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 54.366667 200.000000 44.050000 200.000000 200.000000 200.000000 200.000000
 3 44.683333 49.316667 46.066667 50.016667 200.000000 200.000000 200.000000 200.000000 47.450000 200.000000 200.000000 200.000000 43.733333 200.000000 32.433333 200.000000 200.000000 9.516667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 54.366667 200.000000 44.050000 200.000000 200.000000 200.000000 200.000000
 4 44.683333 49.316667 46.066667 50.016667 200.000000 200.000000 200.000000 200.000000 47.450000 200.000000 200.000000 200.000000 43.733333 200.000000 32.433333 200.000000 200.000000 9.516667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 54.366667 200.000000 44.050000 200.000000 200.000000 200.000000 200.000000
 5 44.683333 49.316667 46.066667 50.016667 200.000000 200.000000 200.000000 200.000000 47.450000 200.000000 200.000000 200.000000 43.733333 200.000000 32.433333 200.000000 200.000000 9.516667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 54.366667 200.000000 44.050000 200.000000 200.000000 200.000000 200.000000
 6 44.683333 49.316667 46.066667 50.016667 200.000000 200.000000 200.000000 200.000000 47.450000 200.000000 200.000000 200.000000 43.733333 200.000000 32.433333 200.000000 200.000000 9.516667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 54.366667 200.000000 44.050000 200.000000 200.000000 200.000000 200.000000
[6,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 42.433333 28.733333 36.083333 46.050000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 10.450000 20.266667 36.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 30.050000 31.133333 200.000000 35.566667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 
 2 200.000000 66.650000 66.500000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 51.633333 59.483333 62.733333 200.000000 200.000000 75.666667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 67.500000 200.000000 200.000000 200.000000 200.000000 13.066667 32.550000 31.033333 200.000000 200.000000 200.000000 200.000000
 3 35.083333 31.083333 43.766667 43.716667 200.000000 44.300000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 29.633333 15.533333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 23.333333 25.000000 200.000000 0.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 4 35.083333 31.083333 43.766667 43.716667 200.000000 44.300000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 29.633333 15.533333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 23.333333 25.000000 200.000000 0.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5 35.083333 31.083333 43.766667 43.716667 200.000000 44.300000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 29.633333 15.533333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 23.333333 25.000000 200.000000 0.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6 35.083333 31.083333 43.766667 43.716667 200.000000 44.300000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 29.633333 15.533333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 23.333333 25.000000 200.000000 0.250000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[7,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 21.366667 34.633333 31.233333 12.366667 200.000000 12.150000 200.000000 200.000000 39.166667 200.000000 200.000000 200.000000 200.000000 39.500000 35.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 35.900000 200.000000 200.000000 45.466667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000  
 2 36.250000 38.933333 31.516667 40.416667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 30.583333 39.800000 26.950000 200.000000 200.000000 38.300000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 39.000000 200.000000 31.133333 200.000000 200.000000 200.000000 200.000000
 3 52.866667 56.016667 53.200000 48.966667 200.000000 41.050000 29.516667 200.000000 35.883333 30.716667 200.000000 200.000000 200.000000 200.000000 42.183333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 65.050000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 4 52.866667 56.016667 53.200000 48.966667 200.000000 41.050000 29.516667 200.000000 35.883333 30.716667 200.000000 200.000000 200.000000 200.000000 42.183333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 65.050000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5 52.866667 56.016667 53.200000 48.966667 200.000000 41.050000 29.516667 200.000000 35.883333 30.716667 200.000000 200.000000 200.000000 200.000000 42.183333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 65.050000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6 52.866667 56.016667 53.200000 48.966667 200.000000 41.050000 29.516667 200.000000 35.883333 30.716667 200.000000 200.000000 200.000000 200.000000 42.183333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 65.050000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[8,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 26.516667 13.933333 18.133333 34.650000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.800000 14.750000 42.783333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 26.250000 30.366667 200.000000 28.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000  
 2 26.516667 13.933333 18.133333 34.650000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.800000 14.750000 42.783333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 26.250000 30.366667 200.000000 28.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 3 26.516667 13.933333 18.133333 34.650000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.800000 14.750000 42.783333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 26.250000 30.366667 200.000000 28.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 4 26.516667 13.933333 18.133333 34.650000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.800000 14.750000 42.783333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 26.250000 30.366667 200.000000 28.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5 26.516667 13.933333 18.133333 34.650000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.800000 14.750000 42.783333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 26.250000 30.366667 200.000000 28.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6 26.516667 13.933333 18.133333 34.650000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.800000 14.750000 42.783333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 26.250000 30.366667 200.000000 28.333333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[9,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 20.350000 31.133333 30.433333 21.233333 200.000000 8.850000 200.000000 200.000000 26.833333 29.683333 200.000000 200.000000 200.000000 44.016667 37.066667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 32.150000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000  
 2 20.350000 31.133333 30.433333 21.233333 200.000000 8.850000 200.000000 200.000000 26.833333 29.683333 200.000000 200.000000 200.000000 44.016667 37.066667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 32.150000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 3 20.350000 31.133333 30.433333 21.233333 200.000000 8.850000 200.000000 200.000000 26.833333 29.683333 200.000000 200.000000 200.000000 44.016667 37.066667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 32.150000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 4 20.350000 31.133333 30.433333 21.233333 200.000000 8.850000 200.000000 200.000000 26.833333 29.683333 200.000000 200.000000 200.000000 44.016667 37.066667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 32.150000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 5 20.350000 31.133333 30.433333 21.233333 200.000000 8.850000 200.000000 200.000000 26.833333 29.683333 200.000000 200.000000 200.000000 44.016667 37.066667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 32.150000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 6 20.350000 31.133333 30.433333 21.233333 200.000000 8.850000 200.000000 200.000000 26.833333 29.683333 200.000000 200.000000 200.000000 44.016667 37.066667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 32.150000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
[10,*,*]:1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37:=
 1 34.300000 33.483333 23.416667 38.416667 200.000000 200.000000 200.000000 200.000000 36.083333 200.000000 200.000000 200.000000 22.316667 31.400000 27.700000 200.000000 200.000000 40.883333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 38.316667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000  
 2 32.350000 26.750000 36.516667 38.483333 200.000000 37.466667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.266667 22.983333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 15.783333 33.550000 200.000000 22.533333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
 3 32.350000 26.750000 36.516667 38.483333 200.000000 37.466667 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 25.266667 22.983333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 15.783333 33.550000 200.000000 22.533333 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000 200.000000
